Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      103     0.00     0.00  std::allocator_traits<std::allocator<sf::Vertex> >::allocate(std::allocator<sf::Vertex>&, unsigned long)
  0.00      0.00     0.00      101     0.00     0.00  std::operator&(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00      0.00     0.00       96     0.00     0.00  sf::VertexArray::operator=(sf::VertexArray&&)
  0.00      0.00     0.00       96     0.00     0.00  sf::VertexArray::operator=(sf::VertexArray const&)
  0.00      0.00     0.00       96     0.00     0.00  sf::Transformable::operator=(sf::Transformable const&)
  0.00      0.00     0.00       96     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<sf::Vertex>, sf::Vertex>::_S_propagate_on_copy_assign()
  0.00      0.00     0.00       96     0.00     0.00  __gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >::operator+(long) const
  0.00      0.00     0.00       96     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::get_allocator() const
  0.00      0.00     0.00       96     0.00     0.00  std::vector<sf::Vertex, std::allocator<sf::Vertex> >::capacity() const
  0.00      0.00     0.00       96     0.00     0.00  sf::Vertex* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<sf::Vertex>(sf::Vertex const*, sf::Vertex const*, sf::Vertex*)
